Date,GDP (Millions of Pounds),Unemployment Rate (%),Inflation Rate (%),CPI,Trade Balance (Goods) (Millions of Pounds),Trade Balance (Services) (Millions of Pounds),Trade Balance (Overall) (Millions of Pounds),Retail Sales (Millions of Pounds),Housing Starts (Started),Housing Starts (Completed)
01/01/1982,90368.70,8.70,8.90,54.40,571.00,-173.00,398.00,606.00,322.00,322.00
01/04/1982,90555.20,8.80,8.40,53.80,572.00,-174.00,398.00,610.00,324.00,325.00
01/07/1982,90732.20,8.90,7.50,52.50,573.00,-175.00,398.00,614.00,326.00,328.00
01/10/1982,91140.20,9.00,6.30,50.90,575.00,-176.00,399.00,618.00,328.00,331.00
01/01/1983,91668.10,9.10,4.80,48.50,578.00,-177.00,401.00,622.00,330.00,334.00
01/04/1983,92097.80,9.20,4.70,48.40,581.00,-178.00,402.00,626.00,332.00,337.00
01/07/1983,92639.20,9.30,4.60,48.30,585.00,-179.00,406.00,630.00,334.00,340.00
01/10/1983,93437.90,9.40,4.40,47.70,589.00,-180.00,409.00,634.00,336.00,343.00
01/01/1984,101708.20,10.80,3.80,60.80,670.00,-182.00,488.00,748.00,203.00,205.00
01/04/1984,102630.20,10.60,4.40,61.50,670.00,-183.00,487.00,753.00,205.00,208.00
01/07/1984,103788.60,10.40,5.10,62.30,672.00,-184.00,488.00,758.00,207.00,211.00
01/10/1984,105103.50,10.20,4.40,61.50,674.00,-185.00,489.00,763.00,209.00,214.00
01/01/1985,106523.30,9.90,3.60,60.50,677.00,-186.00,491.00,768.00,211.00,217.00
01/04/1985,108006.70,9.60,3.30,59.90,680.00,-187.00,492.00,774.00,214.00,220.00
01/07/1985,109327.20,9.40,4.40,61.50,682.00,-188.00,494.00,780.00,217.00,223.00
01/10/1985,110712.40,9.10,5.20,62.50,684.00,-189.00,495.00,786.00,220.00,226.00
01/01/1986,112259.40,8.80,4.60,61.80,687.00,-190.00,497.00,792.00,223.00,229.00
01/04/1986,113733.90,8.50,3.70,60.60,689.00,-191.00,498.00,799.00,226.00,232.00
01/07/1986,115127.20,8.30,4.00,61.10,692.00,-192.00,499.00,805.00,229.00,235.00
01/10/1986,116554.60,8.10,4.40,61.90,695.00,-193.00,502.00,812.00,232.00,238.00
01/01/1987,118093.80,7.90,4.60,62.40,698.00,-194.00,504.00,819.00,236.00,241.00
01/04/1987,119797.10,7.70,5.70,64.00,701.00,-195.00,506.00,826.00,240.00,245.00
01/07/1987,121582.30,7.50,6.50,65.20,704.00,-196.00,508.00,834.00,243.00,249.00
01/10/1987,123392.80,7.40,6.60,65.40,707.00,-197.00,510.00,842.00,246.00,253.00
01/01/1988,125319.90,7.30,5.40,63.70,711.00,-198.00,513.00,850.00,249.00,258.00
01/04/1988,126764.10,7.20,4.20,61.70,714.00,-199.00,515.00,859.00,252.00,262.00
01/07/1988,128387.10,7.00,4.60,62.40,718.00,-200.00,518.00,868.00,256.00,266.00
01/10/1988,129967.20,6.80,4.40,62.00,721.00,-201.00,520.00,877.00,259.00,270.00
01/01/1989,131679.20,6.60,4.20,61.80,725.00,-202.00,523.00,886.00,262.00,274.00
01/04/1989,133469.50,6.40,4.80,62.90,729.00,-203.00,526.00,896.00,266.00,278.00
01/07/1989,135370.30,6.20,7.00,65.80,734.00,-204.00,530.00,906.00,270.00,282.00
01/10/1989,137322.20,6.00,7.90,67.60,739.00,-205.00,534.00,917.00,274.00,287.00
01/01/1990,139353.70,5.90,7.90,67.60,745.00,-206.00,539.00,928.00,278.00,291.00
01/04/1990,141321.30,5.80,7.30,66.30,750.00,-207.00,543.00,939.00,282.00,295.00
01/07/1990,142750.80,5.90,8.40,68.50,755.00,-208.00,547.00,950.00,286.00,299.00
01/10/1990,143843.60,6.00,9.50,70.80,759.00,-209.00,550.00,961.00,290.00,303.00
01/01/1991,144847.10,6.10,7.80,68.30,763.00,-210.00,553.00,973.00,294.00,307.00
01/04/1991,145983.50,6.30,7.30,67.00,768.00,-211.00,556.00,985.00,297.00,311.00
01/07/1991,147299.40,6.40,6.40,64.70,773.00,-212.00,561.00,998.00,301.00,316.00
01/10/1991,148472.90,6.50,4.20,59.90,777.00,-213.00,564.00,1010.00,305.00,321.00
01/01/1992,149893.30,6.60,3.20,57.80,782.00,-214.00,568.00,1022.00,305.00,327.00
01/04/1992,151422.10,6.80,2.70,56.70,787.00,-215.00,572.00,1035.00,309.00,332.00
01/07/1992,153038.20,7.00,2.80,56.90,792.00,-216.00,576.00,1048.00,313.00,337.00
01/10/1992,154537.90,7.20,2.70,56.70,797.00,-217.00,580.00,1061.00,317.00,342.00
01/01/1993,156139.70,7.40,2.80,56.90,802.00,-218.00,584.00,1075.00,321.00,347.00
01/04/1993,157813.20,7.50,3.10,57.70,807.00,-219.00,588.00,1088.00,325.00,352.00
01/07/1993,159507.70,7.60,3.10,57.60,812.00,-220.00,592.00,1102.00,329.00,357.00
01/10/1993,161114.40,7.70,3.30,58.30,817.00,-221.00,596.00,1116.00,333.00,362.00
01/01/1994,162814.50,7.70,2.40,56.10,822.00,-222.00,600.00,1130.00,337.00,368.00
01/04/1994,164613.80,7.60,2.00,55.20,827.00,-223.00,604.00,1144.00,341.00,373.00
01/07/1994,166451.60,7.50,1.60,54.30,832.00,-224.00,608.00,1158.00,345.00,379.00
01/10/1994,168278.60,7.40,1.20,53.20,836.00,-225.00,611.00,1173.00,349.00,385.00
01/01/1995,170107.60,7.30,1.10,53.00,841.00,-226.00,615.00,1187.00,353.00,391.00
01/04/1995,171972.90,7.20,1.50,54.00,846.00,-227.00,619.00,1202.00,357.00,397.00
01/07/1995,173895.20,7.10,2.40,56.10,851.00,-228.00,623.00,1217.00,361.00,403.00
01/10/1995,175902.20,7.00,2.40,56.20,856.00,-229.00,627.00,1233.00,365.00,409.00
01/01/1996,177957.80,6.90,2.50,56.60,861.00,-230.00,631.00,1248.00,369.00,415.00
01/04/1996,180055.90,6.80,2.50,56.50,866.00,-231.00,635.00,1264.00,373.00,422.00
01/07/1996,182269.40,6.70,2.60,56.80,871.00,-232.00,639.00,1280.00,377.00,429.00
01/10/1996,184527.80,6.60,2.70,56.90,876.00,-233.00,643.00,1296.00,381.00,436.00
01/01/1997,186889.60,6.50,2.60,56.70,882.00,-234.00,647.00,1313.00,385.00,443.00
01/04/1997,189244.10,6.40,2.60,56.70,888.00,-235.00,652.00,1330.00,389.00,450.00
01/07/1997,191695.50,6.30,2.40,56.20,893.00,-236.00,657.00,1347.00,394.00,458.00
01/10/1997,194181.40,6.20,2.00,55.30,899.00,-237.00,662.00,1365.00,399.00,466.00
01/01/1998,196756.70,6.00,1.80,54.60,904.00,-238.00,666.00,1384.00,405.00,474.00
01/04/1998,199438.20,5.90,1.70,54.40,910.00,-239.00,671.00,1402.00,410.00,483.00
01/07/1998,202198.50,5.80,1.90,54.90,915.00,-240.00,675.00,1420.00,416.00,491.00
01/10/1998,204928.50,5.70,2.00,55.30,921.00,-241.00,680.00,1439.00,422.00,500.00
01/01/1999,207663.10,5.60,2.00,55.10,927.00,-242.00,685.00,1458.00,428.00,509.00
01/04/1999,210349.30,5.50,1.50,54.10,933.00,-243.00,690.00,1477.00,434.00,518.00
01/07/1999,213206.70,5.40,1.30,53.50,939.00,-244.00,695.00,1497.00,441.00,527.00
01/10/1999,216016.40,5.30,1.40,53.80,945.00,-245.00,700.00,1517.00,448.00,537.00
01/01/2000,218786.30,5.20,2.10,55.60,951.00,-246.00,705.00,1538.00,456.00,548.00
01/04/2000,221511.10,5.10,1.90,55.30,958.00,-247.00,711.00,1560.00,464.00,558.00
01/07/2000,224290.50,5.00,2.00,55.60,964.00,-248.00,716.00,1582.00,472.00,569.00
01/10/2000,227048.60,5.00,2.50,56.50,971.00,-249.00,722.00,1604.00,481.00,580.00
01/01/2001,229815.30,5.10,3.00,57.40,978.00,-250.00,728.00,1626.00,490.00,591.00
01/04/2001,232575.20,5.20,2.90,57.20,985.00,-251.00,734.00,1648.00,499.00,602.00
01/07/2001,235318.70,5.30,1.90,55.40,992.00,-252.00,740.00,1671.00,508.00,614.00
01/10/2001,238075.30,5.40,2.20,55.90,999.00,-253.00,746.00,1693.00,518.00,626.00
01/01/2002,240836.40,5.50,1.40,54.50,1006.00,-254.00,752.00,1716.00,528.00,638.00
01/04/2002,243629.90,5.60,1.30,54.30,1013.00,-255.00,758.00,1739.00,538.00,650.00
01/07/2002,246498.30,5.70,1.20,54.10,1020.00,-256.00,764.00,1762.00,548.00,662.00
01/10/2002,249317.20,5.80,1.40,54.60,1027.00,-257.00,770.00,1785.00,558.00,674.00
01/01/2003,252155.30,5.90,1.60,54.90,1034.00,-258.00,776.00,1808.00,568.00,686.00
01/04/2003,255033.80,6.00,1.40,54.40,1041.00,-259.00,782.00,1831.00,579.00,698.00
01/07/2003,258024.10,6.10,1.30,54.30,1048.00,-260.00,789.00,1855.00,590.00,711.00
01/10/2003,261013.00,6.00,1.10,53.70,1055.00,-261.00,794.00,1878.00,601.00,724.00
01/01/2004,263965.10,5.90,1.30,54.20,1062.00,-262.00,800.00,1901.00,612.00,737.00
01/04/2004,266921.40,5.80,1.50,54.60,1069.00,-263.00,806.00,1925.00,624.00,750.00
01/07/2004,269879.10,5.70,1.40,54.40,1076.00,-264.00,812.00,1948.00,636.00,763.00
01/10/2004,272825.10,5.60,1.20,53.90,1083.00,-265.00,818.00,1971.00,648.00,776.00
01/01/2005,275868.00,5.50,1.90,55.30,1090.00,-266.00,824.00,1995.00,661.00,790.00
01/04/2005,279012.90,5.40,2.00,55.40,1097.00,-267.00,830.00,2019.00,674.00,804.00
01/07/2005,282252.90,5.30,2.30,55.90,1104.00,-268.00,836.00,2043.00,688.00,818.00
01/10/2005,285540.20,5.20,2.10,55.60,1111.00,-269.00,842.00,2067.00,702.00,832.00
01/01/2006,288882.40,5.10,1.90,55.20,1118.00,-270.00,848.00,2091.00,716.00,867.00
01/04/2006,292096.50,5.00,2.00,55.40,1125.00,-271.00,854.00,2116.00,731.00,883.00
01/07/2006,295424.10,4.80,2.40,56.10,1132.00,-272.00,860.00,2141.00,746.00,899.00
01/10/2006,298871.50,4.60,2.30,55.90,1139.00,-273.00,866.00,2166.00,761.00,915.00
01/01/2007,302393.90,4.50,2.70,56.70,1146.00,-274.00,872.00,2192.00,776.00,931.00
01/04/2007,305995.50,4.50,2.50,56.30,1153.00,-275.00,878.00,2217.00,792.00,948.00
01/07/2007,309693.70,4.70,1.80,54.70,1160.00,-276.00,884.00,2243.00,808.00,965.00
01/10/2007,313409.80,5.00,2.10,55.30,1167.00,-277.00,890.00,2269.00,825.00,982.00
01/01/2008,316179.00,5.20,3.10,56.90,1174.00,-278.00,896.00,2295.00,842.00,999.00
01/04/2008,318988.50,5.40,3.30,57.40,1181.00,-279.00,902.00,2322.00,860.00,1017.00
01/07/2008,321876.40,5.60,4.40,59.20,1188.00,-280.00,908.00,2349.00,878.00,1035.00
01/10/2008,324958.10,6.00,3.70,58.00,1195.00,-281.00,914.00,2376.00,897.00,1054.00
01/01/2009,323917.30,6.30,0.60,51.80,1202.00,-282.00,920.00,2404.00,916.00,1073.00
01/04/2009,321428.40,7.70,-1.20,47.30,1209.00,-283.00,925.00,2427.00,930.00,1089.00
01/07/2009,324925.40,7.90,1.80,55.70,1216.00,-284.00,932.00,2450.00,944.00,1105.00
01/10/2009,329577.40,8.10,1.10,54.60,1223.00,-285.00,938.00,2474.00,959.00,1122.00
01/01/2010,333230.50,8.00,2.90,58.10,1230.00,-286.00,944.00,2498.00,974.00,1140.00
01/04/2010,336124.40,7.90,3.40,59.20,1237.00,-287.00,950.00,2523.00,990.00,1158.00
01/07/2010,339065.00,7.70,3.20,58.70,1244.00,-288.00,956.00,2548.00,1007.00,1176.00
01/10/2010,342103.40,7.50,3.10,58.50,1251.00,-289.00,962.00,2573.00,1024.00,1194.00
01/01/2011,345233.60,7.40,4.50,61.50,1258.00,-290.00,968.00,2599.00,1041.00,1212.00
01/04/2011,348431.50,7.30,4.00,60.60,1265.00,-291.00,974.00,2626.00,1058.00,1230.00
01/07/2011,351576.70,7.30,4.40,61.40,1272.00,-292.00,980.00,2653.00,1075.00,1248.00
01/10/2011,354689.90,7.40,4.80,62.20,1279.00,-293.00,986.00,2680.00,1093.00,1266.00
01/01/2012,357811.90,7.90,3.60,60.60,1286.00,-294.00,992.00,2707.00,1110.00,1284.00
01/04/2012,361043.40,8.20,3.50,60.60,1293.00,-295.00,998.00,2734.00,1128.00,1302.00
01/07/2012,364280.90,8.00,2.40,59.40,1300.00,-296.00,1004.00,2762.00,1146.00,1321.00
01/10/2012,367642.90,7.80,2.20,59.00,1307.00,-297.00,1010.00,2790.00,1164.00,1339.00
01/01/2013,371073.10,7.80,2.70,59.80,1314.00,-298.00,1016.00,2819.00,1183.00,1358.00
01/04/2013,373689.80,7.60,2.40,59.40,1321.00,-299.00,1022.00,2847.00,1202.00,1376.00
01/07/2013,376367.20,7.40,2.80,60.10,1328.00,-300.00,1028.00,2875.00,1221.00,1395.00
01/10/2013,379173.00,7.20,2.70,60.10,1335.00,-301.00,1034.00,2904.00,1240.00,1414.00
01/01/2014,382004.80,7.10,1.90,58.80,1342.00,-302.00,1040.00,2932.00,1259.00,1433.00
01/04/2014,384995.60,6.80,1.80,58.70,1349.00,-303.00,1046.00,2961.00,1278.00,1452.00
01/07/2014,388140.80,6.40,1.50,58.00,1356.00,-304.00,1052.00,2990.00,1297.00,1471.00
01/10/2014,391456.20,6.00,1.20,57.50,1363.00,-305.00,1058.00,3020.00,1316.00,1490.00
01/01/2015,394851.10,5.70,0.50,56.60,1370.00,-306.00,1064.00,3050.00,1335.00,1509.00
01/04/2015,398335.50,5.50,0.00,56.00,1377.00,-307.00,1070.00,3080.00,1354.00,1528.00
01/07/2015,401917.10,5.40,-0.10,55.80,1384.00,-308.00,1076.00,3110.00,1373.00,1547.00
01/10/2015,405594.30,5.30,0.10,56.10,1391.00,-309.00,1082.00,3140.00,1392.00,1566.00
01/01/2016,409355.30,5.10,0.30,56.60,1398.00,-310.00,1088.00,3171.00,1411.00,1585.00
01/04/2016,413200.80,4.90,0.30,56.70,1405.00,-311.00,1094.00,3201.00,1430.00,1604.00
01/07/2016,417130.60,4.80,0.50,57.10,1412.00,-312.00,1100.00,3232.00,1449.00,1623.00
01/10/2016,421145.80,4.80,1.00,58.00,1419.00,-313.00,1106.00,3263.00,1468.00,1642.00
01/01/2017,425246.50,4.70,1.80,59.40,1426.00,-314.00,1112.00,3295.00,1487.00,1661.00
01/04/2017,429432.10,4.60,2.30,60.30,1433.00,-315.00,1118.00,3327.00,1506.00,1680.00
01/07/2017,433702.30,4.50,2.60,60.80,1440.00,-316.00,1124.00,3359.00,1525.00,1699.00
01/10/2017,438056.90,4.30,3.00,61.50,1447.00,-317.00,1130.00,3391.00,1544.00,1718.00
01/01/2018,442496.40,4.20,3.00,61.40,1454.00,-318.00,1136.00,3423.00,1563.00,1737.00
01/04/2018,447020.10,4.20,2.50,60.60,1461.00,-319.00,1142.00,3456.00,1582.00,1756.00
01/07/2018,451628.90,4.00,2.40,60.40,1468.00,-320.00,1148.00,3488.00,1601.00,1775.00
01/10/2018,456322.90,4.00,2.50,60.70,1475.00,-321.00,1154.00,3521.00,1620.00,1794.00
01/01/2019,461102.40,3.90,1.80,59.60,1482.00,-322.00,1160.00,3554.00,1639.00,1813.00
01/04/2019,465967.30,3.80,2.10,59.90,1489.00,-323.00,1166.00,3588.00,1658.00,1832.00
01/07/2019,470916.20,3.80,2.00,59.70,1496.00,-324.00,1172.00,3622.00,1677.00,1851.00
01/10/2019,475949.20,3.80,1.50,59.00,1503.00,-325.00,1178.00,3656.00,1696.00,1870.00
01/01/2020,481066.50,3.80,1.30,58.60,1510.00,-326.00,1184.00,3691.00,1715.00,1889.00
01/04/2020,486268.60,3.90,0.80,58.00,1517.00,-327.00,1190.00,3726.00,1734.00,1908.00
01/07/2020,491555.30,4.30,0.60,57.70,1524.00,-328.00,1196.00,3761.00,1753.00,1927.00
01/10/2020,496926.90,4.80,0.50,57.60,1531.00,-329.00,1202.00,3796.00,1772.00,1946.00
01/01/2021,502383.70,5.00,0.70,57.80,1538.00,-330.00,1208.00,3832.00,1791.00,1965.00
01/04/2021,507925.40,4.90,1.50,58.80,1545.00,-331.00,1214.00,3868.00,1810.00,1984.00
01/07/2021,513552.40,4.70,2.00,59.40,1552.00,-332.00,1220.00,3904.00,1829.00,2003.00
